Hash,Project Name,Author Name,Length of modification,Timezone,Branch,Timestamp
8bae968d402f1eb1951356c1ef4d4fca29f3b766,mi-prometheus,TOMASZ KORNUTA,9,25200,{'develop'},2018-05-10 15:02:29-07:00
420a91cce60a99c9b13289e52c95d7f77f6cc4a9,mi-prometheus,TOMASZ KORNUTA,3,25200,{'develop'},2018-05-13 13:49:20-07:00
c0f2e3ed9a5562305e66240e6411b1b92793a51b,mi-prometheus,Ryan McAvoy,1,25200,{'develop'},2018-05-14 20:08:50-07:00
d4e42770c8c5bc3d48d339609b807653f6978a34,mi-prometheus,Ryan McAvoy,23,25200,{'develop'},2018-05-15 12:01:32-07:00
b05856f6332fa18690f8110b5fe90d4dc433e11e,mi-prometheus,Alexis Asseman,9,25200,{'develop'},2018-05-15 19:32:00-07:00
f5a8797c7cca47968838ff12c6ca7fa3a70de609,mi-prometheus,Ryan McAvoy,8,25200,{'develop'},2018-05-16 10:45:26-07:00
49e79eb9a1b1d4707139c7d7e66bc3dc633ca93c,mi-prometheus,TOMASZ KORNUTA,5,25200,{'develop'},2018-05-23 11:16:35-07:00
d0b4fd10ea23f02ff3114e945d1663c6a5e3b94d,mi-prometheus,Ryan McAvoy,26,25200,{'develop'},2018-06-01 17:22:39-07:00
13d4c349d22e50d1654d5a78a6e6901d53630650,mi-prometheus,Younes Bouhadjar,1,25200,{'develop'},2018-06-01 18:50:32-07:00
f41e81ed4027a6e825dc00dfa5978455f1595747,mi-prometheus,Younes Bouhadjar,1,25200,{'develop'},2018-06-01 18:53:31-07:00
030debe2782916331c874a77f8793bcda0e5be87,mi-prometheus,Ryan McAvoy,28,25200,{'develop'},2018-06-04 14:10:18-07:00
97e23ba5ebbaefa01c4a5f553c17bcc63630f782,mi-prometheus,TOMASZ KORNUTA,11,25200,{'develop'},2018-06-04 16:54:18-07:00
c927a5cfaa681fa5fb04b5f17d06870297bf7c82,mi-prometheus,Alexis Asseman,1,25200,{'develop'},2018-06-06 09:28:37-07:00
e721f9c6a8219378711529ea9fbfff1c0447ba4c,mi-prometheus,Bouhadajr Younes,37,25200,{'develop'},2018-06-06 11:52:43-07:00
2d575032f440b2e1428d99d89bdf382ceacc76b9,mi-prometheus,Younes Bouhadjar,8,25200,{'develop'},2018-06-11 16:01:47-07:00
b9149a2e8fdf42d3aea3c6e9404416d09abd2ab5,mi-prometheus,Bouhadajr Younes,8,25200,{'develop'},2018-06-12 22:20:55-07:00
b9cdd52b6977c2a50a57d7f6c5b92bb25cf76134,mi-prometheus,Younes Bouhadjar,2,25200,{'develop'},2018-06-13 10:06:01-07:00
670a0180a72b2c78f993146e6e83244f24c32245,mi-prometheus,Tomasz Kornuta,10,25200,{'develop'},2018-06-21 18:40:20-07:00
3f75fb42badda8c66d79ae2db7ca69c874cac703,mi-prometheus,Tomasz Kornuta,8,25200,{'develop'},2018-06-29 00:48:22-07:00
5c0159ab343b1fa9a67345a5320dfc7cb66d5127,mi-prometheus,Ryan McAvoy,2,25200,{'develop'},2018-07-02 16:53:53-07:00
3ef1c0bd1ab93b019593d4ce7b8b96bf34c8aa21,mi-prometheus,Ryan McAvoy,2,25200,{'develop'},2018-07-11 08:50:45-07:00
ef721332ec363b546d5c726941956d29afd0fcef,mi-prometheus,Ryan McAvoy,62,25200,{'develop'},2018-07-16 16:06:01-07:00
11b5a2f76f5c04b69633dc0eacbe797305435383,mi-prometheus,TOMASZ KORNUTA,62,25200,{'develop'},2018-07-17 10:56:46-07:00
96e6a359e0dde6e4fb156b8ff0a828721c1359ed,mi-prometheus,Vincent Marois,18,25200,{'develop'},2018-08-21 15:05:03-07:00
1df51d8573929881845b1a9af02cb036eda2538f,mi-prometheus,Ryan McAvoy,1,25200,{'develop'},2018-08-30 10:53:13-07:00
40063e0b0fb4535e91783bb910829705a92840fa,mi-prometheus,Ryan McAvoy,1,25200,{'develop'},2018-08-31 09:15:58-07:00
9742efd4097896d9331cc3f83a1f56ae98dc4a1e,mi-prometheus,Vincent Albouy,2,25200,{'develop'},2018-09-06 16:16:13-07:00
7f0d163551be3cd2dc014836df31d6a0c9f9cac4,mi-prometheus,Vincent Albouy,1,25200,{'develop'},2018-09-06 16:17:50-07:00
c3154ff874c107430d888cf5f70565a8b71b67a2,mi-prometheus,Ryan McAvoy,3,25200,{'develop'},2018-09-12 17:36:42-07:00
619b6b4bf79b041efaa83d5ff78b3641d4713e9b,mi-prometheus,TOMASZ KORNUTA,3,25200,{'develop'},2018-09-12 18:04:21-07:00
c8fc078a81aba75b6b242b3ba3ff12eec4be0086,mi-prometheus,Vincent Marois,3,25200,{'develop'},2018-10-22 13:05:36-07:00
ab8a73d4c9a12d9ed14129730982728a1c84b6d6,mi-prometheus,Vincent Marois,2,25200,{'develop'},2018-10-26 18:56:12-07:00
cf3eeb2aeb0b12ef8c17a427fe62bec322b7423c,mi-prometheus,tkornut,1,25200,{'develop'},2018-10-30 15:27:24-07:00
cd9c3122a4877df0ab24ac2beab1c2a562230e4c,mi-prometheus,Vincent Marois,96,28800,{'develop'},2018-11-06 13:22:53-08:00
f7ef5fd1d6b02c4052725d0a7ee24e0442a815bf,mi-prometheus,tkornut,2,28800,{'develop'},2018-11-07 16:52:53-08:00
0ef9ee405251a949cb25a00d1b6ba911ac892a7c,mi-prometheus,tkornut,3,28800,{'develop'},2018-11-12 14:00:14-08:00
008d5187fcca9d3f18a50cb57ec22c4594b2dc68,mi-prometheus,sesevgen,3,28800,{'develop'},2019-01-07 11:31:29-08:00
14d4b13c029b9b8dec111ddfdb6e915ebab8cb4d,mi-prometheus,sesevgen,3,28800,{'develop'},2019-01-07 11:31:29-08:00
6fdb58b028ab018c244427a4201341e6796c30ce,mi-prometheus,Tomasz Kornuta,2,28800,{'develop'},2019-01-09 13:19:12-08:00
1ddb0ea663572a160844739027e5e4cbafe69549,mi-prometheus,sesevgen,6,28800,{'develop'},2019-01-09 14:56:55-08:00
d58c67f35899c8dc92f183858023983ca97742d3,mi-prometheus,sesevgen,1,28800,{'develop'},2019-01-09 15:10:48-08:00
3ffb2741ec3cb5430a9278e7a417e49112d1d5cb,mi-prometheus,sesevgen,2,28800,{'develop'},2019-01-10 13:15:53-08:00
07a51442abd9a930c8edc3e725797404d09cea12,mi-prometheus,sesevgen,3,28800,{'develop'},2019-01-10 13:15:53-08:00
d01290d7df706cc43073bc332f07e694939607cd,kui,Mengting Yan,12,18000,{'master'},2018-12-05 21:15:28-05:00
8fcb4ce7e8631d7df8001953e53f29a8cf3ee8df,kui,Nick Mitchell,11,18000,{'master'},2018-12-07 18:02:58-05:00
4a8d5f6899e03ccc11ed8ead84d48d5cbba55229,kui,Mengting Yan,5,18000,{'master'},2018-12-13 16:46:56-05:00
eba45a1bbc0469bfd87a1e98851cfab80652392d,kui,Nick Mitchell,4,18000,{'master'},2019-01-22 15:02:51-05:00
4420c6e8e707998c69663ada9472d01293b54f67,kui,Nick Mitchell,31,18000,{'master'},2019-02-02 20:55:10-05:00
980aaff0233a2916ea1ac014b3f9aa8283a1055a,kui,Nick Mitchell,30,18000,{'master'},2019-02-03 13:19:55-05:00
e458f38e37eb464b0d2ec65661aa2a4d4628d2b1,kui,Nick Mitchell,30,18000,{'master'},2019-02-03 19:02:49-05:00
66bd3999b7e0d65dfcbd19dd37e0edf2e437a921,kui,Nick Mitchell,30,18000,{'master'},2019-02-04 13:40:56-05:00
943361e8d2e0d0187264b52b677b653d9108b85c,kui,Nick Mitchell,33,18000,{'master'},2019-02-13 10:50:48-05:00
eac7a139d32b7826cafd46346deef3a924012cbb,kui,Nick Mitchell,1,18000,{'master'},2019-02-15 20:42:10-05:00
717b56378534b44ec27e74360b68325ad5664852,kui,Nick Mitchell,2,18000,{'master'},2019-02-16 07:36:26-05:00
daf511a030e35017e6c2675e27de89ad79ea7283,kui,Nick Mitchell,33,18000,{'master'},2019-02-19 12:35:07-05:00
efee9c7f555e61363061dd954b54269133ec2d27,kui,Nick Mitchell,33,18000,{'master'},2019-02-20 09:28:48-05:00
3518b8741d77db4405d07bf9cf7fd3f56c1a6afd,kui,Nick Mitchell,35,18000,{'master'},2019-02-20 22:11:16-05:00
0f87aa324d9442c31eae46924de61fb6642e988c,kui,Nick Mitchell,34,18000,{'master'},2019-02-21 12:44:22-05:00
3998633207dc214cab81e2ec6613f026c21d9a89,kui,Nick Mitchell,35,18000,{'master'},2019-02-22 08:01:07-05:00
581d31bb5be9b5855d284b964cf77a65b574fa3c,kui,Nick Mitchell,34,18000,{'master'},2019-02-27 07:23:12-05:00
23d335388e8158a6276b7d6d173060c0e471bf91,kui,Nick Mitchell,5,18000,{'master'},2019-02-27 10:22:03-05:00
4d6265f3aed20563e316f4d8145808d8e2aa0052,kui,Nick Mitchell,1,18000,{'master'},2019-02-28 00:08:00-05:00
0083e60e2bb85d2450336801720638913b5b96e6,kui,Nick Mitchell,34,18000,{'master'},2019-02-28 00:08:13-05:00
6b464ac5e80fdea6a5d2477955f4e5c6b15fe341,kui,Nick Mitchell,34,18000,{'master'},2019-02-28 08:46:10-05:00
0bc5ef98e84d8ebe7b892e29bc98a2b076813e73,kui,Nick Mitchell,2,18000,{'master'},2019-03-05 23:11:23-05:00
656868c7fac250ee0d41adb0b731690fa48a54bd,kui,Nick Mitchell,36,18000,{'master'},2019-03-06 08:20:18-05:00
7645284fe2d709e20c9a251b21ca35503dd7d1f0,kui,Nick Mitchell,36,18000,{'master'},2019-03-06 11:09:34-05:00
8ed6032af04bef1a231f8149618957aa0a5bae5b,kui,Nick Mitchell,1,18000,{'master'},2019-03-06 11:09:45-05:00
36c1d8fdbbe2ae1af5a19fa34ab3195803496f80,kui,Nick Mitchell,36,18000,{'master'},2019-03-06 12:32:12-05:00
